"ABB_3mlpa_1","ABB_3mlpa_2","ABB_3mlpa_3","ABB_3mlpa_4","ABB_3mlpa_5","BBA_3MWT_1","BBA_3MWT_2","BBA_3MWT_3","BBA_3MWT_4","BBA_3MWT_5","E_1MWT_1","E_1MWT_2","E_1MWT_3","E_1MWT_4","E_1MWT_5","V_1mlpa_1","V_1mlpa_2","V_1mlpa_3","V_1mlpa_4","V_1mlpa_5"
"Glyma.01G053800",1.85485007443626,1.92720131020415,1.95034536544978,0.320044753146761,0.695979272136703,-0.103428906347732,-0.554842236138761,-1.63510665260403,-0.822771163982394,-1.1240608921801,0.370711468684507,-0.0927951512348714,0.581301520919585,-0.854255419316547,-0.11447967146502,-0.274194503160134,-0.687242912543978,-0.287955833306189,-0.622189351853539,-0.527111070844436
"Glyma.01G056800",1.24873394750577,1.18190024960739,-0.603349417760407,-1.02112659705345,-1.14032667179119,1.75278251372739,0.268417621758665,-0.665567773971248,-0.715182697112273,-0.906985646857817,1.37334817306928,0.727732876239544,0.0427096619239051,-0.552846928910241,-1.03639272725069,1.44364337723331,0.681845729076912,-0.0462244221321028,-1.00834565084181,-1.02476561646093
"Glyma.01G096600",1.79035818369294,1.52672813498979,0.404805047472981,0.230565523687247,-0.679511988978807,-2.03155752447073,0.437038805528704,0.342386756530038,0.472761784817262,-0.379882038667008,0.642238244697866,0.453709529196709,1.00982493235395,-0.485001751364199,-1.35708552171714,-1.36827318344782,0.214559413587401,0.618589078564206,-0.554453869236839,-1.28779955723654
"Glyma.01G076900",1.47948656223895,0.671929981104644,-0.584860436761719,-0.708089313742882,-0.363015198039897,-0.596002588931406,-0.697224329537614,-0.689463626533853,-0.82976605012329,-0.796117859242695,1.21129883986609,0.635842712137146,0.119755962386978,-0.770285804958745,-0.672223779146924,2.56188289689219,1.4387428714692,0.106230165723279,-0.852382956019968,-0.665738048779495
"Glyma.01G088300",-0.333457068320712,0.500432432193511,0.228129893427443,-0.639525911748858,-0.623333882612661,0.576258519855709,2.30762085480924,-0.658087506124498,-0.437520475086283,-1.85866722744264,0.204236777263049,0.34779293801935,0.157437863784036,1.07919874192763,-1.18116903273169,-0.0787288050805149,0.959733161105684,0.624242215954444,0.696908883297386,-1.87150237248963
"Glyma.01G128100",0.435321528943715,-0.308353587895603,0.211615470352555,0.263652611079995,-0.200121699836211,-0.686494614393072,-0.47687077172042,-0.552713563167243,-0.666041872225714,-0.693669838694408,3.94045212923148,0.59572467407263,0.254666816160566,-0.391505719985844,-0.330415726167934,-0.356769587386856,-0.214136857583679,-0.396870373669084,-0.194488813468807,-0.232980203646065
"Glyma.01G129700",1.57418675689019,0.0403720910129317,0.0195742912361908,-0.463056460814439,-0.972298062268843,0.994062858237508,-0.287834536342267,-0.583801805924646,-0.811304268788566,-1.02184739004217,2.12491323314327,0.80145714726162,0.171470200697009,-0.52360444756464,-0.927251541190741,2.03864019502769,0.00516161898629637,-0.37377540019344,-0.90757944308781,-0.897485036275143
"Glyma.01G133500",4.15131504302338,0.311340732252113,0.18161134020367,-0.333108119733884,-0.274138430863837,0.182945318528075,-0.341445484261418,-0.354687180863974,-0.347664177332544,-0.339993801967212,-0.165301493454982,-0.346330199008139,0.0244569231917121,-0.354687180863974,-0.322475527795239,-0.318924791372924,-0.340974668382217,-0.354687180863974,-0.348645043747549,-0.308606076687081
"Glyma.01G137200",-1.20547249023961,0.869269748700696,0.105914215791094,-0.361080207858902,-1.56308128122057,-0.68696980799342,1.56664959444341,0.707491151677718,0.195263752479324,-0.61314666585861,-0.637837999278915,1.00768024104491,1.25366865559215,0.29424356028363,-1.32985599194448,-1.14412140135178,0.969105538049819,1.45106527662766,0.183707044150522,-1.06249293309466
"Glyma.01G143800",1.94531162375059,0.56841121073058,0.765009387796796,-0.273846759457596,0.608348929892762,-0.0589437944420435,-0.566010193090471,-0.989397561113375,-0.837729318104607,-1.40375139742102,2.60024267310663,0.611201624118633,-0.402693448659402,-0.66823173618415,-0.232244968663658,-0.866969433919776,0.0370969111622556,0.266263347307159,0.0228334400329046,-1.12490053684221
